location,population,date,highest_infection_count,percentage_of_population_infected_with_covid
"Faeroe Islands",53117,4/27/2022,34658,65.2500
"Faeroe Islands",53117,4/26/2022,34658,65.2500
"Faeroe Islands",53117,4/25/2022,34658,65.2500
"Faeroe Islands",53117,4/24/2022,34658,65.2500
"Faeroe Islands",53117,4/23/2022,34658,65.2500
"Faeroe Islands",53117,4/22/2022,34658,65.2500
"Faeroe Islands",53117,4/21/2022,34658,65.2500
"Faeroe Islands",53117,4/20/2022,34658,65.2500
"Faeroe Islands",53117,4/19/2022,34658,65.2500
"Faeroe Islands",53117,4/18/2022,34658,65.2500
"Faeroe Islands",53117,4/17/2022,34658,65.2500
"Faeroe Islands",53117,4/16/2022,34658,65.2500
"Faeroe Islands",53117,4/15/2022,34658,65.2500
"Faeroe Islands",53117,4/14/2022,34658,65.2500
"Faeroe Islands",53117,4/13/2022,34658,65.2500
"Faeroe Islands",53117,4/12/2022,34658,65.2500
"Faeroe Islands",53117,4/11/2022,34658,65.2500
"Faeroe Islands",53117,4/10/2022,34658,65.2500
"Faeroe Islands",53117,4/9/2022,34658,65.2500
"Faeroe Islands",53117,4/8/2022,34658,65.2500
"Faeroe Islands",53117,4/7/2022,34658,65.2500
"Faeroe Islands",53117,4/6/2022,34658,65.2500
"Faeroe Islands",53117,4/5/2022,34658,65.2500
"Faeroe Islands",53117,4/4/2022,34658,65.2500
"Faeroe Islands",53117,4/3/2022,34658,65.2500
"Faeroe Islands",53117,4/2/2022,34658,65.2500
"Faeroe Islands",53117,4/1/2022,34658,65.2500
"Faeroe Islands",53117,3/31/2022,34658,65.2500
"Faeroe Islands",53117,3/30/2022,34658,65.2500
"Faeroe Islands",53117,3/29/2022,34658,65.2500
"Faeroe Islands",53117,3/28/2022,34658,65.2500
"Faeroe Islands",53117,3/27/2022,34658,65.2500
"Faeroe Islands",53117,3/26/2022,34658,65.2500
"Faeroe Islands",53117,3/2/2022,34658,65.2500
"Faeroe Islands",53117,3/3/2022,34658,65.2500
"Faeroe Islands",53117,3/4/2022,34658,65.2500
"Faeroe Islands",53117,3/5/2022,34658,65.2500
"Faeroe Islands",53117,3/6/2022,34658,65.2500
"Faeroe Islands",53117,3/7/2022,34658,65.2500
"Faeroe Islands",53117,3/8/2022,34658,65.2500
"Faeroe Islands",53117,3/9/2022,34658,65.2500
"Faeroe Islands",53117,3/10/2022,34658,65.2500
"Faeroe Islands",53117,3/11/2022,34658,65.2500
"Faeroe Islands",53117,3/12/2022,34658,65.2500
"Faeroe Islands",53117,3/13/2022,34658,65.2500
